river,fpz,description,site,id,species,feeding,tl,d15N,d13C,per_N,per_C,C_N,tp
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1076,northern pike,piscivore,745,12.516627,-25.8936642,15.20151753,46.060793,3.030012821,4.418709426
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1077,smallmouth bass,piscivore,285,10.995327,-27.2952135,14.90013172,45.78484833,3.072781448,3.97126825
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1078,drum,invertivore,300,9.0551624,-27.98198958,14.2587927,45.4443496,3.187110617,3.400631603
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1082,walleye,piscivore,375,12.6008056,-25.26009097,15.02313612,45.1504302,3.005393137,4.443467838
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1083,drum,invertivore,335,11.2448202,-28.06215977,13.29287328,47.36521465,3.563203655,4.044648603
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1084,rock bass,invertivore,170,11.5054696,-26.6513705,14.67349561,44.82369094,3.054738429,4.121310191
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1085,black crappie,invertivore/piscivore,150,9.6731201,-26.2944788,9.010563055,36.13004291,4.009743085,3.582383868
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1103,Hypentelium nigricans,algivore,146,6.8140867,-26.4788454,3.938650849,16.32728858,4.145401359,2.741491691
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1104,Hypentelium nigricans,algivore,132,6.9781296,-26.2934602,4.429551976,21.27499562,4.802967825,2.789739603
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1105,Hypentelium nigricans,algivore,118,7.0443581,-26.3464274,4.282026896,28.87047169,6.742244361,2.809218574
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1106,Hypentelium nigricans,algivore,132,6.6164201,-25.2962508,5.490774193,32.23721554,5.871160314,2.683354456
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1107,Percina caprodes,invertivore/planktivore,95,7.6027153,-26.393283,4.479000225,19.64628807,4.386311026,2.973441279
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1108,Percina caprodes,invertivore/planktivore,115,7.371425,-26.1956746,4.36845576,21.41637478,4.902504674,2.905414721
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1109,Percina caprodes,invertivore/planktivore,80,7.7616637,-26.99935,5.226457913,20.08646108,3.843226409,3.020190809
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1110,Percina caprodes,invertivore/planktivore,90,6.8038977,-27.2478884,4.37433084,18.01183263,4.117620109,2.738494926
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1111,Notropis vollucelus,invertivore/planktivore,65,6.9292224,-25.2300418,4.25394528,28.06500525,6.597406268,2.775355132
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1112,Notropis vollucelus,invertivore/planktivore,55,7.4692394,-25.761751,4.488600404,24.96005192,5.560764978,2.934183662
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1113,Notropis vollucelus,invertivore/planktivore,65,6.0692708,-24.4334966,6.040444624,22.64571343,3.749014326,2.522428191
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1114,Notropis vollucelus,invertivore/planktivore,60,6.923109,-24.2470928,7.025295069,25.32737706,3.605169151,2.773557074
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1115,Notropis vollucelus,invertivore/planktivore,60,6.1742175,-24.4009014,5.312489425,19.32950362,3.638502041,2.553294868
