site,fpz,description,id,species,feeding,tl,d15N,d13C,per_N,per_C,C_N
WIN,1,main channel,205,Morone chrysops,piscivore,355,17.557,-25.819,13.936,44.019,3.159
WIN,1,main channel,206,Micropterus salmoides,piscivore,365,18.147,-25.048,14.216,45.296,3.186
WIN,1,main channel,207,Micropterus salmoides,piscivore,365,18.180,-26.138,13.850,43.510,3.141
WIN,1,main channel,208,Aplodinotus grunniens,invertivore,510,15.474,-29.578,9.146,54.445,5.953
WIN,1,main channel,209,Ictiobus bubalus,detritivore,437,16.385,-28.681,7.594,44.448,5.853
WIN,1,main channel,210,Ictiobus bubalus,detritivore,565,15.845,-30.487,7.052,56.063,7.950
WIN,1,main channel,211,Aplodinotus grunniens,invertivore,500,15.554,-29.847,9.299,55.647,5.984
WIN,1,main channel,212,Lepomis macrochirus,invertivore,198,16.458,-27.105,10.432,34.201,3.279
WIN,1,main channel,213,Lepomis macrochirus,invertivore,190,16.909,-27.176,13.374,44.122,3.299
WIN,1,main channel,214,Micropterus salmoides,piscivore,388,17.991,-25.030,13.364,45.121,3.376
WIN,2,backwater,215,Carpiodes cyprinus,omnivore,490,16.051,-26.091,14.634,49.989,3.416
WIN,2,backwater,216,Moxostoma carinatum,invertivore,570,11.801,-26.868,13.103,43.265,3.302
WIN,2,backwater,217,Moxostoma carinatum,invertivore,495,14.152,-26.246,12.945,44.306,3.423
WIN,2,backwater,218,Ictiobus bubalus,detritivore,435,15.149,-30.956,8.679,55.839,6.434
WIN,2,backwater,219,Cyprinus carpio,detritivore,520,13.084,-26.770,12.250,48.637,3.970
WIN,2,backwater,220,Esox lucius,piscivore,418,18.255,-22.048,13.490,42.568,3.155
WIN,2,backwater,221,Amia calva,piscivore,590,14.784,-25.805,13.749,44.542,3.240
WIN,2,backwater,222,Micropterus salmoides,piscivore,345,15.726,-26.326,13.896,44.098,3.173
WIN,2,backwater,223,Aplodinotus grunniens,invertivore,332,13.607,-29.414,12.230,47.250,3.863
WIN,2,backwater,224,Micropterus salmoides,piscivore,224,18.071,-26.055,13.969,45.028,3.223
WIN,2,backwater,225,Micropterus salmoides,piscivore,162,14.723,-25.935,13.323,43.160,3.240
WIN,2,backwater,226,Perca flavescens,invertivore,170,14.375,-26.670,13.543,43.439,3.208
WIN,2,backwater,227,Perca flavescens,invertivore,177,13.338,-28.250,13.555,43.555,3.213
WIN,2,backwater,228,Perca flavescens,invertivore,188,14.137,-25.373,13.574,43.966,3.239
WIN,2,backwater,229,Perca flavescens,invertivore,177,13.741,-26.816,13.651,44.231,3.240
WIN,2,backwater,230,Perca flavescens,invertivore,156,13.099,-28.556,13.055,42.167,3.230
WIN,2,backwater,231,Aplodinotus grunniens,invertivore,360,14.307,-30.507,8.468,55.069,6.503
WIN,2,backwater,232,Cyprinus carpio,detritivore,555,14.405,-26.459,11.050,49.998,4.525
WIN,2,backwater,233,Aplodinotus grunniens,invertivore,338,14.081,-27.792,13.134,45.467,3.462
WIN,2,backwater,234,Ictiobus cyprinellus,planktivore,560,14.804,-27.747,12.557,45.076,3.590
WIN,2,backwater,235,Aplodinotus grunniens,invertivore,305,14.892,-27.695,13.081,44.804,3.425
WIN,2,backwater,236,Lepomis macrochirus,invertivore,220,16.696,-25.976,13.189,43.023,3.262
WIN,2,backwater,237,Lepomis macrochirus,invertivore,185,13.578,-26.999,13.573,43.860,3.232
WIN,2,backwater,238,Lepomis macrochirus,invertivore,154,15.546,-26.787,13.602,43.202,3.176
WIN,2,backwater,239,Pomoxis nigromaculatus,invertivore,138,14.993,-27.763,13.512,43.405,3.212
WIN,2,backwater,240,Pomoxis nigromaculatus,invertivore,142,14.846,-26.787,13.211,43.360,3.282
WIN,2,backwater,241,Ictiobus bubalus,detritivore,540,14.252,-28.398,12.932,43.525,3.366
WIN,2,backwater,242,Moxostoma macrolepidotum,invertivore,413,15.081,-25.230,13.419,44.548,3.320
WIN,2,backwater,243,Moxostoma carinatum,invertivore,562,13.000,-27.982,12.572,44.495,3.539
WIN,2,backwater,244,Moxostoma macrolepidotum,invertivore,495,13.857,-27.939,13.638,44.157,3.238
WIN,2,backwater,245,Carpiodes cyprinus,omnivore,505,15.418,-26.745,13.280,44.335,3.339
WIN,2,backwater,246,Carpiodes cyprinus,omnivore,535,15.240,-26.713,12.144,45.743,3.767
WIN,2,backwater,247,Ictiobus bubalus,detritivore,500,14.423,-27.522,12.827,44.990,3.507
WIN,2,backwater,248,Ictiobus bubalus,detritivore,515,13.448,-27.586,12.574,45.121,3.588
WIN,2,backwater,249,Cyprinus carpio,detritivore,575,13.002,-26.322,10.050,53.476,5.321
WIN,2,backwater,250,Ictalurus punctatus,omnivore,495,14.131,-28.475,13.125,41.901,3.192
WIN,2,backwater,251,Lepomis macrochirus,invertivore,195,16.005,-25.955,12.944,45.406,3.508
WIN,2,backwater,252,Esox lucius,piscivore,?,15.180,-26.012,14.091,44.062,3.127
